Timestamp;X;Y;Z
1521293384018;0.021987915;4.8155212;7.7418976
1521293384022;0.010025024;4.8849487;7.921463
1521293384028;0.20155334;4.896927;8.065109
1521293384032;0.029174805;4.9232635;8.065109
1521293384037;-0.17912292;4.9400177;8.050735
1521293384042;-0.085754395;4.8634033;8.091446
1521293384047;4.4250488E-4;4.779602;8.182419
1521293384052;0.060302734;4.7341156;8.28537
1521293384057;0.16325378;4.770035;8.436203
1521293384062;0.117767334;4.937622;8.553528
1521293384067;-1.0482178;5.916855;8.531982
1521293384072;-0.6483917;6.0628967;8.333252
1521293384077;0.39309692;5.0812836;8.321289
1521293384082;-0.14559937;4.6192017;8.350021
1521293384087;-0.24855042;4.63356;8.474518
1521293384092;0.17282104;4.8370667;8.46254
1521293384097;0.43858337;4.9112854;8.350021
1521293384102;0.598999;4.849045;8.350021
1521293384107;0.68040466;4.770035;8.433807
1521293384112;0.74264526;4.65271;8.587051
1521293384116;0.7857361;4.513855;8.66127
1521293384122;0.80010986;4.4875183;8.637329
1521293384127;0.81925964;4.5162506;8.567886
1521293384131;0.89826965;4.482727;8.498459
1521293384136;1.0131989;4.420471;8.448181
1521293384142;1.0730438;4.2911835;8.548737
1521293384147;1.2310638;4.1212006;8.591827
1521293384152;1.2765503;4.046982;8.68042
1521293384157;1.2454224;4.0421906;8.850403
1521293384162;1.2502136;4.123596;9.013214
1521293384166;1.2526093;4.1403503;9.032364
1521293384171;1.2741547;4.125992;8.905472
1521293384177;1.2214813;4.1571198;8.843216
1521293384181;1.1520538;4.1283875;8.776184
1521293384186;1.1257172;4.1571198;8.783371
1521293384191;1.0969849;4.221756;8.74028
1521293384196;1.053894;4.3582306;8.618164
1521293384201;1.029953;4.4683685;8.567886
1521293384206;0.93896484;4.5042725;8.4841
1521293384211;0.75701904;4.4851227;8.457764
1521293384216;0.8049011;4.537796;8.440994
1521293384221;0.792923;4.5114594;8.342834
1521293384226;0.7354584;4.482727;8.316498
1521293384231;1.0179749;4.6862335;8.26622
1521293384236;1.0419159;4.7101746;8.215942
1521293384241;0.87672424;4.683838;8.18721
1521293384246;0.7953186;4.6311646;8.211151
1521293384251;0.8144684;4.63356;8.232697
1521293384256;0.7857361;4.6982117;8.182419
1521293384261;0.7857361;4.7101746;8.098633
1521293384266;0.80010986;4.7460938;8.096237
1521293384270;0.7737732;4.7293243;8.115387
1521293384276;0.77137756;4.7532654;8.144119
1521293384281;0.74264526;4.719757;8.249466
1521293384285;0.6947632;4.7269287;8.34523
1521293384290;0.598999;4.676651;8.527191
1521293384295;0.55589294;4.5904694;8.701965
1521293384300;0.59420776;4.5186462;8.800125
1521293384305;0.68518066;4.521042;8.845612
1521293384310;0.6947632;4.5760956;8.764221
1521293384315;0.7450409;4.640747;8.752243
1521293384320;0.737854;4.5880737;8.704361
1521293384325;0.6684265;4.5832825;8.615768
1521293384330;0.6372986;4.5737;8.440994
1521293384335;0.6660309;4.6000366;8.371567
1521293384340;0.69955444;4.6670837;8.318893
1521293384345;0.74983215;4.7652435;8.311707
1521293384350;0.6660309;4.7843933;8.357193
1521293384355;0.5678711;4.707779;8.491272
1521293384360;0.49365234;4.6551056;8.584656
1521293384365;0.4912567;4.657501;8.637329
1521293384370;0.4912567;4.6862335;8.706757
1521293384375;0.55111694;4.691025;8.721115
1521293384380;0.6301117;4.6670837;8.725906
1521293384385;0.60617065;4.664688;8.706757
1521293384390;0.58462524;4.6862335;8.749847
1521293384395;0.50561523;4.585678;8.723511
1521293384400;0.53434753;4.5593414;8.651688
1521293384405;0.60139465;4.6742706;8.646896
1521293384409;0.55111694;4.7269287;8.74028
1521293384414;0.50083923;4.7173615;8.8767395
1521293384419;0.55111694;4.6694794;8.934204
1521293384424;0.55589294;4.609619;8.804916
1521293384430;0.54393005;4.5473633;8.668442
1521293384435;0.53674316;4.6072235;8.646896
1521293384439;0.5894165;4.664688;8.627747
1521293384444;0.6085663;4.688629;8.646896
1521293384450;0.6468811;4.6239777;8.649292
1521293384454;0.7043457;4.635956;8.603806
1521293384459;0.737854;4.6670837;8.486481
1521293384464;0.7546234;4.640747;8.472122
1521293384470;0.72828674;4.647934;8.50325
1521293384474;0.7234955;4.6670837;8.5224
1521293384479;0.69236755;4.616806;8.551132
1521293384484;0.7067261;4.592865;8.584656
1521293384490;0.6971588;4.585678;8.60141
1521293384494;0.68518066;4.6024323;8.553528
1521293384499;0.64927673;4.592865;8.558319
1521293384504;0.60617065;4.5976563;8.594223
1521293384509;0.63490295;4.537796;8.587051
1521293384514;0.6468811;4.501877;8.572678
1521293384518;0.62054443;4.544983;8.560715
1521293384523;0.62054443;4.5090637;8.570282
1521293384529;0.61335754;4.489914;8.606201
1521293384534;0.62294006;4.4970856;8.58226
1521293384538;0.6277313;4.530609;8.570282
1521293384544;0.598999;4.5473633;8.515213
1521293384548;0.4912567;4.5713196;8.558319
1521293384554;0.38111877;4.55455;8.627747
1521293384558;0.37394714;4.521042;8.654083
1521293384564;0.37872314;4.501877;8.678024
1521293384568;0.45773315;4.537796;8.639709
1521293384573;0.51519775;4.55455;8.62056
1521293384579;0.5128021;4.537796;8.634933
1521293384583;0.50561523;4.5162506;8.625351
1521293384588;0.4912567;4.5186462;8.543945
1521293384593;0.48886108;4.5354004;8.50325
1521293384598;0.49365234;4.549759;8.474518
1521293384603;0.51519775;4.5713196;8.50325
1521293384609;0.50561523;4.556946;8.50325
1521293384613;0.47927856;4.5665283;8.464935
1521293384618;0.45056152;4.5880737;8.400299
1521293384623;0.4481659;4.609619;8.4841
1521293384628;0.46731567;4.580887;8.546341
1521293384632;0.45533752;4.5473633;8.591827
1521293384638;0.4337921;4.568924;8.622955
1521293384643;0.4697113;4.5880737;8.642105
1521293384648;0.44337463;4.5976563;8.642105
1521293384653;0.38591003;4.568924;8.625351
1521293384658;0.33084106;4.5425873;8.596619
1521293384663;0.30690002;4.506668;8.603806
1521293384668;0.3332367;4.5832825;8.634933
1521293384673;0.35238647;4.592865;8.644501
